차종	도착시간(H:M:S)	일보는시간(s)
마라톤	7:47:16	10196
마라톤	19:45:05	3628
버스트	9:36:16	21706
버스트	14:04:44	21350
버스트	13:19:30	11575
솔리드	8:01:22	41180
마라톤	18:29:19	10066
버스트	12:39:14	34395
솔리드	8:17:01	43170
마라톤	9:04:42	47066
솔리드	7:07:52	49847
솔리드	21:16:22	2399
코튼	20:25:32	1055
코튼	9:22:24	13543
코튼	17:57:48	15349
버스트	18:23:14	13422
솔리드	21:32:51	1494
버스트	12:11:38	26829
버스트	6:45:18	15849
세이버	11:00:46	33088
솔리드	11:37:45	34068
버스트	22:15:03	841
세이버	17:15:36	15995
버스트	20:27:07	5859
코튼	20:27:04	6475
세이버	19:28:01	5683
코튼	20:33:30	907
마라톤	15:49:53	18119
마라톤	7:20:45	22047
버스트	10:16:50	39883
솔리드	12:36:56	25405
마라톤	14:38:43	23544
솔리드	20:46:01	5834
버스트	16:01:40	1681
솔리드	11:14:59	25828
코튼	6:44:30	9203
코튼	11:59:39	17745
솔리드	21:10:28	2355
코튼	11:10:05	22083
세이버	14:41:48	10490
세이버	21:14:13	3753
마라톤	11:18:31	13367
코튼	14:07:42	21927
세이버	14:01:33	25985
코튼	13:22:46	24592
코튼	19:58:18	1135
솔리드	7:23:23	10443
코튼	17:12:33	2343
마라톤	16:40:06	16405
코튼	12:43:50	20043
코튼	7:00:37	30705
솔리드	8:06:15	27906
세이버	16:51:51	5666
코튼	15:29:28	11662
코튼	8:18:47	42237
솔리드	16:53:37	4598
세이버	14:42:40	20779
버스트	19:34:43	6582
마라톤	19:07:31	6148
버스트	8:42:41	4910
버스트	13:33:21	5116
세이버	9:53:38	14536
코튼	10:52:29	32043
세이버	15:32:08	22909
솔리드	16:51:11	1890
세이버	16:01:04	22177
코튼	19:05:07	11669
세이버	19:11:37	8962
솔리드	7:41:47	37434
솔리드	14:59:25	7147
세이버	20:22:17	5645
버스트	19:24:07	6681
버스트	7:06:51	54188
솔리드	18:20:38	13564
마라톤	21:00:55	3646
코튼	13:53:06	10860
마라톤	15:07:27	8297
솔리드	20:22:24	7433
코튼	13:08:09	2421
버스트	7:58:56	51084
세이버	18:19:09	4083
세이버	15:20:26	2838
코튼	14:19:53	7030
코튼	10:07:26	22836
마라톤	7:33:12	7203
마라톤	19:18:25	7537
솔리드	20:54:55	5194
마라톤	6:34:37	37975
솔리드	13:42:51	29002
마라톤	10:49:49	4963
마라톤	6:51:21	54498
코튼	8:17:24	27459
마라톤	11:47:29	23269
코튼	21:32:24	2008
버스트	11:32:23	26700
세이버	12:22:47	26208
세이버	6:46:40	7271
세이버	22:23:31	227
버스트	15:35:02	18787
마라톤	20:56:51	2420
버스트	12:00:28	11630
마라톤	8:41:50	2151
마라톤	17:09:57	15100
솔리드	8:41:20	43571
코튼	10:24:25	39772
코튼	14:32:16	22753
버스트	6:35:59	6792
솔리드	12:15:36	17588
버스트	12:31:57	26588
마라톤	9:41:10	45056
마라톤	11:05:08	21586
버스트	8:16:11	22137
코튼	19:47:21	1693
세이버	17:15:36	7220
코튼	10:29:02	42960
버스트	12:26:42	18188
코튼	21:44:22	776
버스트	17:02:51	1012
솔리드	20:00:48	4960
세이버	13:22:09	31524
솔리드	10:56:28	34149
솔리드	18:59:01	4577
코튼	18:13:05	8435
세이버	7:02:47	396
솔리드	13:14:17	19228
솔리드	20:19:46	6327
솔리드	6:31:38	55819
세이버	15:53:16	17919
코튼	21:05:30	4336
세이버	6:53:03	47848
세이버	12:31:04	25316
마라톤	18:56:20	3107
마라톤	17:27:25	11670
버스트	10:11:46	7936
솔리드	12:05:28	3780
세이버	16:17:52	11861
솔리드	19:07:11	7965
코튼	12:12:16	12892
솔리드	19:19:44	3041
코튼	15:40:43	13350
버스트	15:47:16	21999
마라톤	11:27:36	19930
세이버	7:45:18	35863
마라톤	10:44:08	19276
코튼	9:42:23	23440
마라톤	22:24:03	137
코튼	17:20:52	13591
솔리드	12:49:08	21320
세이버	9:10:59	11259
코튼	14:00:44	17906
솔리드	17:59:17	11147
솔리드	15:07:14	5929
버스트	15:30:58	15133
버스트	18:31:03	12073
솔리드	7:11:33	24581
버스트	8:31:54	4078
코튼	18:35:17	7248
세이버	6:51:55	23501
세이버	10:10:05	20663
마라톤	20:31:54	2918
코튼	8:35:48	35170
마라톤	6:37:22	18709
마라톤	8:26:57	33796
세이버	9:37:37	42879
코튼	13:52:05	21476
코튼	19:42:41	7408
마라톤	14:19:43	8226
세이버	22:29:33	14
마라톤	14:36:06	7283
코튼	17:49:48	5914
솔리드	13:14:14	6394
코튼	9:45:40	38349
코튼	9:18:59	13572
버스트	6:53:28	1058
세이버	12:10:33	6198
세이버	15:44:14	1573
솔리드	17:56:50	8824
마라톤	14:39:08	25225
세이버	22:21:34	56
세이버	18:56:09	8800
마라톤	10:20:24	31501
마라톤	13:11:23	22113
솔리드	14:09:26	20109
솔리드	11:50:46	36484
마라톤	21:00:40	96
솔리드	11:58:28	25436
마라톤	18:21:24	11133
코튼	18:01:15	15319
솔리드	20:01:34	2954
마라톤	19:24:26	10811
세이버	19:13:58	266
코튼	10:03:45	26865
세이버	18:50:13	12280
마라톤	21:54:06	611
코튼	17:09:57	7136
코튼	11:10:29	22876
솔리드	16:32:52	12915
마라톤	13:16:26	6300
버스트	21:39:43	2229
마라톤	11:12:13	33590
버스트	16:18:19	21043
솔리드	6:46:53	34177
버스트	12:18:53	7498
코튼	21:48:50	2291
솔리드	21:13:21	769
솔리드	20:49:49	3024
세이버	12:27:24	10498
솔리드	17:29:46	14672
코튼	20:06:18	6216
솔리드	19:58:48	5554
버스트	20:44:47	2703
마라톤	16:27:05	11187
솔리드	14:01:32	10446
마라톤	20:46:16	1882
마라톤	13:01:19	16067
코튼	9:21:08	31673
솔리드	8:13:25	37287
솔리드	10:45:20	12214
솔리드	21:07:14	1299
세이버	20:09:55	7391
솔리드	19:27:30	4577
세이버	15:46:55	20321
코튼	19:26:13	8760
버스트	15:36:36	13408
세이버	21:56:55	40
솔리드	14:45:28	9959
마라톤	16:03:58	10376
버스트	7:25:40	13697
마라톤	12:04:08	17973
버스트	14:41:49	5535
버스트	10:54:01	30440
세이버	7:28:50	9935
버스트	17:07:40	8184
버스트	21:01:05	4376
버스트	11:00:53	26793
버스트	13:57:24	16894
솔리드	19:32:45	10118
버스트	11:35:36	19460
마라톤	20:28:17	2759
마라톤	7:11:21	1960
솔리드	14:50:39	23665
코튼	16:40:14	20472
세이버	19:37:06	8218
세이버	14:43:03	1055
버스트	15:34:28	19409
코튼	10:10:23	169
세이버	21:41:27	2190
마라톤	10:48:26	16100
세이버	8:29:36	44018
마라톤	9:12:40	37184
버스트	11:06:43	38943
버스트	14:54:42	25515
버스트	19:01:01	2523
코튼	10:34:36	4179
세이버	10:46:22	37520
솔리드	8:34:08	8501
코튼	13:40:21	2155
버스트	17:20:27	77
세이버	20:10:32	4459
버스트	14:27:25	23889
마라톤	16:44:23	5300
코튼	20:42:58	4114
마라톤	16:51:36	215
버스트	10:38:19	33038
마라톤	18:55:38	2677
코튼	20:49:53	447
솔리드	21:16:19	224
세이버	18:31:58	4293
버스트	15:31:50	20579
세이버	18:18:59	6975
코튼	9:25:49	37997
코튼	16:56:56	7897
솔리드	10:47:21	6282
솔리드	6:37:27	25959
솔리드	17:50:41	6593
코튼	7:26:11	537
솔리드	10:45:33	4333
솔리드	12:45:23	10327
버스트	15:24:05	2488
세이버	13:37:14	20229
솔리드	20:56:27	2005
코튼	15:31:00	8257
버스트	17:53:54	600
세이버	21:51:07	1205
코튼	16:24:24	13528
마라톤	15:06:57	5255
세이버	14:29:37	17773
솔리드	17:16:41	17043
버스트	17:41:35	8739
솔리드	9:33:08	29472
마라톤	21:26:49	3002
세이버	16:04:36	18536
솔리드	18:00:21	6740
마라톤	8:12:26	44966
솔리드	6:51:06	50351
마라톤	14:28:09	5603
솔리드	7:30:16	29838
세이버	8:57:15	22288
솔리드	21:12:52	2018
버스트	11:04:33	22650
코튼	12:54:23	9970
마라톤	11:58:33	28734
마라톤	14:08:18	7539
코튼	15:10:19	25268
버스트	16:04:00	15727
세이버	15:58:35	18441
버스트	20:42:39	1729
코튼	17:23:17	14616
버스트	11:59:08	1260
세이버	17:17:13	13708
코튼	20:33:36	717
솔리드	11:55:44	13877
코튼	12:18:38	16080
마라톤	15:26:58	17099
솔리드	7:29:45	53855
세이버	11:08:19	20339
솔리드	8:28:09	30235
코튼	11:32:01	7592
마라톤	22:23:51	243
버스트	20:31:36	6832
코튼	15:59:31	15896
세이버	17:25:22	7763
코튼	20:30:13	3016
세이버	9:44:20	8378
마라톤	7:15:43	44002
코튼	16:51:51	9263
버스트	8:26:58	38233
버스트	8:32:07	24705
버스트	17:44:25	8257
버스트	22:11:36	725
세이버	14:49:05	3077
버스트	8:50:50	40004
버스트	14:29:33	13145
세이버	10:06:31	2283
마라톤	21:37:35	254
코튼	10:57:55	18659
버스트	8:31:33	36842
버스트	16:16:59	15321
코튼	7:02:12	18732
코튼	18:47:06	8188
코튼	13:44:55	11224
코튼	16:23:44	19767
마라톤	9:06:36	8685
마라톤	19:49:57	8323
버스트	11:29:21	32505
솔리드	14:39:14	3662
코튼	7:10:10	19184
마라톤	13:02:57	16342
버스트	6:53:44	44054
코튼	10:27:31	2384
솔리드	10:31:37	30192
마라톤	12:10:38	30236
코튼	14:16:16	15823
마라톤	22:28:35	5
마라톤	14:31:56	17983
솔리드	11:29:27	5504
솔리드	18:13:41	4998
코튼	9:56:46	22409
코튼	12:17:58	18691
마라톤	19:34:24	3557
세이버	13:26:58	1906
코튼	8:55:28	25644
